t_sec,ABack_x,ABack_y,ABack_z
566.12,-0.291016,0.200684,-0.26123
566.13,-0.432129,0.37793,-0.049805
566.14,-0.534668,0.572266,0.135254
566.15,-0.695313,0.767578,0.32666
566.16,-0.937988,0.842773,0.737305
566.17,-1.064941,0.628418,1.11377
566.18,-0.896484,0.341309,1.214844
566.19,-0.774414,0.140137,1.501465
566.2,-0.736816,-0.302246,1.720703
566.21,-0.559082,-0.71875,1.996582
566.22,-0.182129,-0.736328,1.89502
566.23,0.12793,-0.597168,1.756348
566.24,0.353027,-0.41748,1.635254
566.25,0.591797,-0.144043,1.475098
566.26,0.70752,-0.126953,1.238281
566.27,0.721191,-0.15918,0.859375
566.28,0.820801,-0.203613,0.79541
566.29,0.855957,-0.247559,0.575684
566.3,0.725098,-0.176758,0.200684
566.31,0.645508,-0.052246,0.030273
566.32,0.57959,0.057129,-0.036621
566.33,0.538086,0.23584,-0.047852
566.34,0.399414,0.445801,0.055176
566.35,0.282715,0.613281,0.184082
566.36,0.202148,0.756836,0.26416
566.37,0.102051,0.900391,0.394531
566.38,0.055176,0.924316,0.644531
566.39,0.006348,0.790527,0.833984
566.4,0.049805,0.621582,1.144043
566.41,0.341309,0.408203,1.434082
566.42,0.643555,0.138672,1.722168
566.43,0.733398,-0.145508,2.009766
566.44,0.581543,-0.285156,2.19043
566.45,0.418457,-0.305176,2.067871
566.46,0.425293,-0.383301,1.82373
566.47,0.59375,-0.720703,1.559082
566.48,0.697266,-1.044922,1.328613
566.49,0.708984,-1.115723,1.097168
566.5,0.532715,-0.979004,0.774414
566.51,0.243164,-0.699219,0.492676
566.52,-0.047363,-0.386719,0.347168
566.53,-0.180176,-0.041992,-0.095215
566.54,-0.23291,0.16748,-0.375977
566.55,-0.314453,0.473145,-0.077148
566.56,-0.472168,0.857422,0.409668
566.57,-0.728516,0.986328,0.730469
566.58,-0.880859,0.943848,1.073242
566.59,-0.643555,0.6875,1.108887
566.6,-0.326172,0.369629,1.148438
566.61,-0.201172,0.007324,1.425781
566.62,-0.29834,-0.234863,1.671875
566.63,-0.134766,-0.374512,1.807617
566.64,0.213867,-0.458984,1.74707
566.65,0.414063,-0.42334,1.824219
566.66,0.470703,-0.439941,1.647949
566.67,0.550781,-0.487305,1.415039
566.68,0.684082,-0.567383,1.17334
566.69,0.779297,-0.54248,0.861816
566.7,0.720703,-0.472168,0.655762
566.71,0.669434,-0.276855,0.508789
566.72,0.567383,-0.032227,0.205566
566.73,0.458008,0.213867,-0.047852
566.74,0.287109,0.311035,-0.213867
566.75,0.119141,0.388184,-0.233398
566.76,0.080566,0.52832,-0.044922
566.77,0.092285,0.733398,0.34375
566.78,0.148926,0.930664,0.555176
566.79,0.296875,1.024414,0.852539
566.8,0.323242,0.874023,0.92334
566.81,0.474609,0.77002,1.090332
566.82,0.631836,0.651855,1.359863
566.83,0.804199,0.463867,1.524414
566.84,0.825195,0.27002,1.847656
566.85,0.723145,0.1875,1.979004
566.86,0.662598,0.051758,1.923828
566.87,0.697266,-0.256348,1.838867
566.88,0.84082,-0.654785,1.710938
566.89,0.895508,-0.98291,1.489258
566.9,0.848633,-1.121094,1.29248
566.91,0.668457,-1.241211,0.98877
566.92,0.432129,-1.111328,0.577148
566.93,0.233398,-0.770996,0.291992
566.94,0.005859,-0.399902,0.011719
566.95,-0.157715,-0.106445,-0.357422
566.96,-0.314941,0.180176,-0.287109
566.97,-0.479492,0.445313,-0.058105
566.98,-0.549805,0.647949,0.079102
566.99,-0.671875,0.894531,0.277832
567.0,-0.798828,0.980957,0.466309
567.01,-0.919434,0.929199,0.938965
567.02,-0.885742,0.722168,1.22998
567.03,-0.786133,0.364746,1.236816
567.04,-0.662598,-0.078613,1.393555
567.05,-0.628418,-0.477539,1.772949
567.06,-0.287598,-0.73291,2.004883
567.07,0.085449,-0.736816,1.761719
567.08,0.320313,-0.751465,1.791504
567.09,0.584473,-0.660645,1.637207
567.1,0.79541,-0.695801,1.414551
567.11,0.665527,-0.783691,0.936035
567.12,0.766113,-0.705566,0.691406
567.13,0.896484,-0.629883,0.657715
