t_sec,ABack_x,ABack_y,ABack_z
812.17,-0.3466907352951897,0.2925869888973379,0.10740977520225965
812.18,-0.08933632081720022,-0.06591434724953815,0.07212979005627534
812.19,0.17212237035742428,-0.42821604729279605,0.11077524337628775
812.2,0.30895317017594764,-0.8012709705553648,0.2875327690523046
812.21,0.3760853286870077,-0.8227976351736657,0.9661883415799724
812.22,0.4504322177084599,-0.609448074868797,1.660588180232204
812.23,0.6671796643633945,-0.4434924568127453,2.204207727396395
812.24,1.1037599272547771,0.035718340588427544,2.174757657942566
812.25,1.637185934524434,0.4104350282623974,1.41382452824954
812.26,1.87103480961437,0.07490562171828546,1.2375843854076223
812.27,1.6748817996052534,-0.350049598047381,1.0994706945332484
812.28,1.3584965689716926,-0.48428831201914124,1.121751085451871
812.29,0.9505426343913383,-0.41476869468301064,1.0845766494406381
812.3,0.4606567772218533,-0.3707499466817612,0.8544991171121474
812.31,-0.06919970561002742,-0.383393557649215,0.5938043042264629
812.32,-0.5296429232190211,-0.3502022243894378,0.34509059488193583
812.33,-0.8053852076530577,-0.2707916320662427,0.18798444649591106
812.34,-0.8387765621456869,-0.24244773731282676,-0.3488452054667769
812.35,-0.603516,-0.146973,-0.556641
812.36,-0.309082,0.129395,-0.286133
812.37,-0.220703,0.352051,-0.093262
812.38,-0.294922,0.427246,-0.042969
812.39,-0.381348,0.448242,-0.031738
818.45,-0.254883,-0.321289,0.12207
818.46,-0.344238,-0.070313,-0.029297
818.47,-0.212402,0.166016,0.065918
818.48,-0.11377,0.390625,-0.185059
818.49,-0.068359,0.620605,-0.329102
818.5,-0.171875,0.705078,-0.085449
818.51,-0.357422,0.595215,0.05957
818.52,-0.391602,0.438477,0.259277
818.53,-0.445801,0.318359,0.783691
818.54,-0.736328,0.286133,1.538086
818.55,-1.253418,0.177246,1.737793
818.56,-1.589355,0.242676,1.688477
818.57,-1.487793,0.042969,1.890137
818.58,-1.580566,-0.464844,2.256348
818.59,-1.663086,-0.691895,2.380371
818.6,-1.165527,-0.645508,2.089355
818.61,-0.477539,-0.672363,1.86377
818.62,0.058594,-0.688477,1.748535
818.63,0.44873,-0.839844,1.539551
818.64,0.621094,-1.00293,1.277344
818.65,0.672363,-1.006836,0.876953
818.66,0.754883,-0.977539,0.455078
818.67,0.889648,-0.875,0.254395
818.68,0.849609,-0.740234,0.080078
818.69,0.426758,-0.528809,0.089844
818.7,-0.050293,-0.248047,0.088867
818.71,-0.293945,0.132324,0.104492
818.72,-0.345703,0.47998,0.240723
818.73,-0.358887,0.646973,0.376953
818.74,-0.330566,0.761719,0.381348
818.75,-0.243164,0.710938,0.253906
818.76,-0.038086,0.415527,0.13916
818.77,0.194336,0.062012,0.144531
818.78,0.298828,-0.326172,0.342285
818.79,0.199219,-0.61084,0.830078
818.8,0.157227,-0.72168,1.251953
818.81,0.370117,-0.515625,1.75
818.82,0.541992,-0.197754,2.395996
818.83,0.643555,-0.131348,2.472656
818.84,0.821289,-0.087891,2.154785
818.85,0.970215,-0.20166,1.851563
818.86,0.890137,-0.57959,1.352539
818.87,0.644531,-0.771973,1.230957
818.88,0.533203,-0.747559,1.236328
818.89,0.426758,-0.67334,0.973145
818.9,0.234375,-0.674316,0.659668
818.91,-0.124512,-0.663574,0.486816
818.92,-0.400391,-0.598145,0.447754
818.93,-0.45673174545623463,-0.5596145959514432,-0.0026705999309853956
818.94,-0.35599853638321755,-0.42362917232130587,-0.2064449333343134
818.95,-0.2191615081533161,-0.16307721312874557,-0.02106547294998362
818.96,-0.08535510266723573,0.14686139725236624,-0.11319365271057907
818.97,-0.12142227244614862,0.43197697931169193,-0.060643093833465
818.98,-0.28671118769483583,0.6090491602037227,0.17648751334441934
818.99,-0.38945049577836244,0.710689800998615,0.43544639196182955
819.0,-0.4695844733816855,0.6457584809196297,0.7212684863022973
819.01,-0.7692768088356077,0.38343066905267176,1.3149621276546646
819.02,-1.1046169009488525,0.08013297826634985,1.6251603862058697
819.03,-1.1642372530324332,-0.24947903020954754,1.5064716426108262
819.04,-1.0814037502121827,-0.48774283132535456,1.6118850091491264
819.05,-1.2139359835561465,-0.5599816024726519,2.028498715037303
819.06,-1.058163797946086,-0.5290990296503691,1.807877097593891
819.07,-0.3095594281285163,-0.4159322595510283,1.6708679373429454
819.08,0.3183677634154625,-0.5227016334995485,1.4011213340001503
819.09,0.6690710199251348,-0.5933875492129641,1.1124339670077363
819.1,0.7760538589247666,-0.5777691655243395,1.0590653665281566
819.11,0.5533625034825894,-0.5201517788814253,0.9114356462496505
819.12,0.4758765299950364,-0.4444426041968864,0.5889371361558011
819.13,0.7091336769546471,-0.4155320560381444,0.2911122151309244
819.14,0.8009046560566218,-0.45206979721675217,0.17715767346872144
819.15,0.43241213317246613,-0.5871800107273023,-0.13664784493869797
819.16,-0.029406213185559582,-0.45820077453116664,-0.028167162307320248
819.17,-0.302246,-0.106934,0.121582
819.18,-0.388672,0.281738,0.271484
